ENSGid	gene_name
ENSG00000260396.1	AC012065.7
ENSG00000110711.5	AIP
ENSG00000254527.1	ENPP7P12
ENSG00000118961.10	C2orf43
ENSG00000268885.1	AC026740.1
ENSG00000186470.9	BTN3A2
ENSG00000079459.8	FDFT1
ENSG00000255122.1	RP11-303G3.6
ENSG00000269954.1	RP11-148O21.6
ENSG00000204713.6	TRIM27
ENSG00000167792.7	NDUFV1
ENSG00000139624.8	CERS5
ENSG00000219392.1	RP1-265C24.5
ENSG00000164096.10	C4orf3
ENSG00000146477.4	SLC22A3
ENSG00000213402.2	PTPRCAP
ENSG00000142655.8	PEX14
ENSG00000242441.3	GTF2A1L
ENSG00000197415.7	VEPH1
ENSG00000204592.5	HLA-E
ENSG00000249915.3	PDCD6
ENSG00000112877.6	CEP72
ENSG00000244731.3	C4A
ENSG00000119685.15	TTLL5
ENSG00000180104.11	EXOC3
ENSG00000138660.7	AP1AR
ENSG00000171757.11	LRRC34
ENSG00000175489.9	LRRC25
ENSG00000242616.3	GNG10
ENSG00000196814.10	MVB12B
ENSG00000204138.8	PHACTR4
ENSG00000143171.8	RXRG
ENSG00000259757.1	RP11-129I19.2
ENSG00000124635.7	HIST1H2BJ
ENSG00000204438.6	GPANK1
ENSG00000272236.1	XXbac-BPG170G13.32
ENSG00000084207.11	GSTP1
ENSG00000088992.13	TESC
ENSG00000204644.5	ZFP57
ENSG00000119686.5	FLVCR2
ENSG00000267368.1	UPK3BL
ENSG00000230521.1	HCG4P7
ENSG00000037474.10	NSUN2
ENSG00000250596.1	RP11-440I14.2
ENSG00000197903.6	HIST1H2BK
ENSG00000213719.4	CLIC1
ENSG00000135587.4	SMPD2
ENSG00000173295.3	FAM86B3P
ENSG00000184319.11	AC002055.4
ENSG00000242607.1	RPS3AP34
ENSG00000068781.16	STON1-GTF2A1L
ENSG00000253981.1	ALG1L13P
ENSG00000118407.10	FILIP1
ENSG00000154328.11	NEIL2
ENSG00000247982.2	LINC00926
ENSG00000124613.4	ZNF391
ENSG00000101019.17	UQCC1
ENSG00000204498.6	NFKBIL1
ENSG00000054793.9	ATP9A
ENSG00000168255.14	POLR2J3
ENSG00000204632.7	HLA-G
ENSG00000166839.12	ANKDD1A
ENSG00000221990.2	C5orf55
ENSG00000006327.9	TNFRSF12A
ENSG00000111348.4	ARHGDIB
ENSG00000104626.10	ERI1
ENSG00000112812.11	PRSS16
ENSG00000105479.11	CCDC114
ENSG00000166037.6	CEP57
ENSG00000048540.10	LMO3
ENSG00000197062.7	RP5-874C20.3
ENSG00000177156.6	TALDO1
ENSG00000164733.16	CTSB
ENSG00000158669.7	AGPAT6
ENSG00000256885.1	AP001877.1
ENSG00000248174.1	RP11-148L24.1
ENSG00000231429.2	RP11-343N15.2
ENSG00000123268.4	ATF1
ENSG00000146066.2	HIGD2A
ENSG00000149292.12	TTC12
ENSG00000116874.7	WARS2
ENSG00000203489.3	HMGB1P39
ENSG00000174749.5	C4orf32
ENSG00000204977.5	TRIM13
ENSG00000162521.14	RBBP4
ENSG00000155085.11	AK9
ENSG00000105894.7	PTN
ENSG00000093010.7	COMT
ENSG00000116151.9	MORN1
ENSG00000136944.13	LMX1B
ENSG00000248538.2	RP11-10A14.5
ENSG00000153246.7	PLA2R1
ENSG00000084674.9	APOB
ENSG00000143344.11	RGL1
ENSG00000163016.5	ALMS1P
ENSG00000197147.8	LRRC8B
ENSG00000196476.7	C20orf96
ENSG00000157870.10	FAM213B
ENSG00000168268.6	NT5DC2
ENSG00000165724.5	ZMYND19
ENSG00000251411.1	RP11-397E7.4
ENSG00000102796.6	DHRS12
ENSG00000083720.8	OXCT1
ENSG00000184056.10	VPS33B
ENSG00000105464.3	GRIN2D
ENSG00000161016.11	RPL8
ENSG00000038532.10	CLEC16A
ENSG00000221947.3	XKR9
ENSG00000104643.5	MTMR9
ENSG00000178222.8	RNF212
